WCE End Semester Examination Schedule - May 2024

Subject,Date,Time,Class,Venue,Type
Machine Learning,2024-05-10,10:00 AM - 01:00 PM,TE,Main Building Hall 1,End Semester
Data Science,2024-05-13,10:00 AM - 01:00 PM,TE,Main Building Hall 1,End Semester
Computer Networks,2024-05-16,10:00 AM - 01:00 PM,TE,Main Building Hall 2,End Semester
Cloud Computing,2024-05-19,10:00 AM - 01:00 PM,TE,Lab Building Hall 1,End Semester
Software Engineering,2024-05-22,10:00 AM - 01:00 PM,TE,Main Building Hall 1,End Semester
Deep Learning,2024-05-11,10:00 AM - 01:00 PM,BE,Main Building Hall 2,End Semester
Big Data Analytics,2024-05-14,10:00 AM - 01:00 PM,BE,Main Building Hall 2,End Semester
Blockchain Technology,2024-05-17,10:00 AM - 01:00 PM,BE,Lab Building Hall 1,End Semester
Elective - NLP,2024-05-20,10:00 AM - 01:00 PM,BE,Main Building Hall 3,End Semester
Elective - Cybersecurity,2024-05-20,10:00 AM - 01:00 PM,BE,Lab Building Hall 2,End Semester
